Time,Input,Output
0,-5.24304212380844,6.16643305659076
0.119999885559082,-5.23841067974003,5.62771774624467
0.239999771118164,-5.22546387124544,5.19125598294142
0.359999656677246,-5.19581035621954,4.88899455731264
0.479999542236328,-5.16488113341612,4.74281049205046
0.59999942779541,-5.13120229583335,4.76468652991881
0.719999313354492,-5.09550274742595,4.95337824362694
0.839999198913574,-5.05697751661177,5.29504914779849
0.959999084472656,-5.01395633384369,5.76259539432456
1.07999897003174,-4.96845204766332,6.31802578516061
1.19999885559082,-4.91675277812332,6.91523636100927
1.3199987411499,-4.86022939711066,7.50384253705105
1.43999862670898,-4.802525402488,8.03405230660061
1.55999851226807,-4.74674849710226,8.46204097613727
1.67999839782715,-4.69384862532483,8.75344026048097
1.79999828338623,-4.6457802049398,8.88621720513475
1.91999816894531,-4.60568894019278,8.85234644415068
2.03999805450439,-4.57486969063802,8.65793786538353
2.15999794006348,-4.55115627315681,8.32281392696586
2.27999782562256,-4.53381291691205,7.87847723000901
2.39999771118164,-4.52152869189378,7.36509004943252
2.51999759674072,-4.51164633422184,6.82825269067558
2.6399974822998,-4.50054595958235,6.31507661784052
2.75999736785889,-4.48699659070704,5.87042167790943
2.87999725341797,-4.47141863113515,5.53345580133947
2.99999713897705,-4.45214659586665,5.33425252469951
3.11999702453613,-4.42854996094697,5.29043285190648
3.23999691009521,-4.40316448688256,5.40593163384631
3.3599967956543,-4.37435303182968,5.66968560304128
3.47999668121338,-4.34097874396525,6.05599205862355
3.59999656677246,-4.30286129758437,6.52674536075358
3.71999645233154,-4.26071435874231,7.03522308671468
3.83999633789063,-4.21560707651028,7.53119282212509
3.95999622344971,-4.16778567613339,7.96515795653364
4.07999610900879,-4.12153558333708,8.29410806828743
4.19999599456787,-4.16509496360355,8.70376700052666
4.31999588012695,-4.24340473569727,10.2282916670983
4.43999576568604,-3.94175212991794,12.9448152107126
4.55999565124512,-3.50129262444005,16.4718691084957
4.6799955368042,-2.91595789574582,20.3132242557912
4.79999542236328,-2.2544546523331,23.9511763316636
4.91999530792236,-1.61080041939506,26.9416851063922
5.03999519348145,-1.10367636201146,29.0026336479215
5.15999507904053,-0.757675099441009,30.0238855643861
5.27999496459961,-0.585746221550664,30.0394629966055
5.39999485015869,-0.587960993404835,29.1920396551917
5.51999473571777,-0.731608737657041,27.6792077032402
5.63999462127686,-0.987143515290867,25.7293618412988
5.75999450683594,-1.3187189459366,23.5901383900449
5.87999439239502,-1.66607176431828,21.5003222164375
5.9999942779541,-1.98112373040772,19.6698760169497
6.11999416351318,-2.22646093102719,18.2673353717275
6.23999404907227,-2.3774980097734,17.4108111308744
6.35999393463135,-2.42423930101843,17.1579573617246
6.47999382019043,-2.3628048212109,17.498301337387
6.59999370574951,-2.20081288029337,18.3496801663013
6.71999359130859,-1.95921388923245,19.564115884741
6.83999347686768,-1.66029952120469,20.9493710820315
6.95999336242676,-1.32638686937931,22.2967314134743
7.07999324798584,-1.00291331764799,23.4163433756344
7.19999313354492,-0.749688468504488,24.1797384295127
7.319993019104,-0.569228861638841,24.528724356004
7.43999290466309,-0.480663331626999,24.4723811076671
7.55999279022217,-0.479763779631803,24.0785202825019
7.67999267578125,-0.524721994420936,23.4389359442242
7.79999256134033,-0.609711154248792,22.6581837582476
7.91999244689941,-0.724962785925008,21.851287303134
8.0399923324585,-0.83438286249487,21.1253660032025
8.15999221801758,-0.919536969422147,20.5676089302538
8.27999210357666,-0.962197573287881,20.2359566683049
8.39999198913574,-0.95394751719482,20.1518609968806
8.51999187469482,-0.893809343285973,20.2997320903393
8.63999176025391,-0.790859348212742,20.6344030069568
8.75999164581299,-0.652514073744406,21.0869151560266
8.87999153137207,-0.489371803523809,21.5764523667039
8.99999141693115,-0.316221999357325,22.0199560131953
9.11999130249023,-0.163830476195294,22.3512257399788
9.23999118804932,-0.0488299824625429,22.5370939881046
9.3599910736084,0.0240123670729844,22.5776694451784
9.47999095916748,0.0630588548020654,22.4973015844429
9.59999084472656,0.0880933642482091,22.3314446310235
9.71999073028564,0.103754740399026,22.1097085209745
9.83999061584473,0.106130144381844,21.8679474519666
9.95999050140381,0.112740145016424,21.6421964514857
10.0799903869629,0.125520793404064,21.4617442383275
10.199990272522,0.145924704777116,21.3507318222967
10.3199901580811,0.189814451641958,21.3221459347789
10.4399900436401,0.257098875370247,21.3738084223625
10.5599899291992,0.350695316643041,21.4877993736029
10.6799898147583,0.457578281739835,21.63432946782
10.7999897003174,0.570282363182045,21.7837223113289
10.9199895858765,0.660578342223893,21.9135902450667
11.0399894714355,0.724738067372201,22.0126148867276
11.1599893569946,0.770163078873289,22.0805708544878
11.2799892425537,0.810739287401702,22.1234120355595
11.3999891281128,0.854216091414244,22.1451119295204
11.5199890136719,0.890789158306447,22.1495035974344
11.639988899231,0.921656555522198,22.14751585314
11.75998878479,0.95556674454744,22.1469972326837
11.8799886703491,0.990948271730787,22.1531331801383
11.9999885559082,1.02718933243837,22.1730436789236
12.1199884414673,1.0740028161195,22.209724429971
12.2399883270264,1.12833168402032,22.2617340845815
12.3599882125854,1.18775789720925,22.3295677964733
12.4799880981445,1.25196941153572,22.4081627397923
12.5999879837036,1.32813786358496,22.490417249307
12.7199878692627,1.40387193662534,22.5697414269367
12.8399877548218,1.46744108507669,22.6454547826792
12.9599876403809,1.52947341793396,22.7196567015971
13.0799875259399,1.59620438429104,22.7924199048923
13.199987411499,1.66301833438264,22.8652735915016
13.3199872970581,1.72683140314219,22.9427426606122
13.4399871826172,1.79077247071231,23.0289476277798
