Aerobee
T,Thrust,ThrustPc
0.64,0.79,0.966
0.66,0.96,1.172
0.68,5.23,6.41
0.7,9.48,11.626
0.72,13.69,16.79
0.74,17.83,21.875
0.76,21.89,26.856
0.78,25.85,31.707
0.8,29.68,36.407
0.82,33.37,40.937
0.84,36.91,45.282
0.86,40.29,49.429
0.88,43.51,53.368
0.9,46.54,57.094
0.92,49.4,60.603
0.94,52.09,63.895
0.96,54.6,66.972
0.98,56.93,69.837
1,59.1,72.497
1.02,61.11,74.96
1.04,62.96,77.232
1.06,64.67,79.325
1.08,66.23,81.247
1.1,67.67,83.008
1.12,68.98,84.62
1.14,70.18,86.092
1.16,71.28,87.435
1.18,72.28,88.658
1.2,73.18,89.77
1.22,74.01,90.78
1.24,74.75,91.697
1.26,75.43,92.529
1.28,76.05,93.283
1.3,76.6,93.966
1.32,77.11,94.585
1.34,77.56,95.144
1.36,77.98,95.65
1.38,78.35,96.108
1.4,78.69,96.522
1.42,78.99,96.896
1.44,79.27,97.235
1.46,79.52,97.543
1.48,79.75,97.822
1.5,79.95,98.077
1.52,80.14,98.309
1.54,80.32,98.52
1.56,80.47,98.714
1.58,80.62,98.891
