h,t,accel,grav,acgx,fr,thr
h,t,accel,grav,acgx,fr,thr
52827.2302889149,35.6773830217765,7.36273059878991,1.50715650363857,7.44789061968962,1.21626711763703,1.75841383925176
52798.0981107962,35.6603670625289,7.36325651817697,1.50720509166396,7.46840776255494,1.21897326706759,1.76230817089958
52768.9749660129,35.643362589164,7.36378538719563,1.50725367869043,7.48892570191207,1.2216786486262,1.76620686890515
52739.8642554325,35.6263642702648,7.36431375721078,1.5073022647986,7.50945223886553,1.22438489191683,1.77011267442783
52710.7666301967,35.6093701331395,7.3648422030551,1.50735084993942,7.52999021067237,1.22709228676521,1.77402266415643
52681.6840911747,35.5923838321554,7.36537072474492,1.50739943410702,7.5505347318628,1.22980016953369,1.77793590926703
52652.3375151891,35.5752149203867,7.36589759660987,1.50744801736601,7.57132192230857,1.23254088461032,1.78189423683812
52621.8192065055,35.5572660638978,7.36642396854731,1.50749659964172,7.5930900218746,1.23541445080726,1.78604354065811
52591.311300698,35.5393216757715,7.36695099111317,1.5075451810269,7.61487096295288,1.23828924001045,1.79019258788842
52560.8085449184,35.5213782399414,7.3674775136193,1.50759376141975,7.63666911803744,1.24116603851907,1.79434280018036
52530.3089453434,35.5034421158294,7.36800583806676,1.5076423408653,7.6584753133332,1.24404321272953,1.79849759462581
52499.8104312113,35.4855041901365,7.36853423829233,1.50769091935894,7.68030217239814,1.24692276572585,1.80265901755333
52469.307693257,35.4675607988776,7.36906329003557,1.50773949689504,7.7021543029976,1.24980522454546,1.80682813471921
52438.799321386,35.4496111223335,7.36959184194885,1.50778807346456,7.72403274986915,1.25269092526736,1.81100594253946
52408.2844576873,35.4316470223328,7.37011874202404,1.5078366490782,7.74594900331753,1.25558162307903,1.81518911568088
52377.7594028488,35.4136736408075,7.37064629341829,1.50788522375975,7.76789542534202,1.25847588933751,1.8193754771159
52347.2248022333,35.3956914336486,7.37117334428884,1.50793379747787,7.78987150178014,1.26137384985823,1.82356532581975
52316.6821268466,35.3777014093455,7.37170104667567,1.50798237023549,7.811876026395,1.26427514322944,1.82775873530927
52286.1302258947,35.3597123464668,7.37223055327891,1.5080309420652,7.83389640389056,1.26717786135986,1.83195945010893
52255.5735264325,35.3417176969069,7.37276013595614,1.50807951289525,7.85594250692814,1.27008363857602,1.83616940227823
52225.0169445237,35.323716303711,7.37328979472377,1.50812808277492,7.87801661834822,1.27299278374217,1.84038687209796
52194.4515916226,35.3057067489596,7.37382010606498,1.50817665173647,7.90011977023406,1.27590533626284,1.84461168006126
52163.8915507237,35.2876933792162,7.37434818749683,1.50822521970574,7.92224747241761,1.27882118559477,1.84883973374259
52133.3373994548,35.2696816567674,7.37487634457197,1.50827378673213,7.94439200871984,1.28173888670137,1.85306879608272
52102.7935410431,35.251681279194,7.37540573073601,1.50832235276463,7.9665399991156,1.28465642403848,1.85730053217846
52072.2644527694,35.2336884980698,7.37593576970433,1.50837091788548,7.9886973524533,1.28757469789077,1.86153645448452
52041.7511688755,35.2156972812998,7.37646473110042,1.50841948198575,8.01087288617098,1.2904952053823,1.86577429642856
52011.2590931961,35.1977179815264,7.37699319140722,1.50846804514608,8.03305236474749,1.29341591652919,1.87001063774934
