Stage,Alt,vTh,Lat,Anom,dAnom
2,31703.1984602567,4446.57021611055,28.8665180206299,179.343088731172,0.422718023197955
2,31768.1717559975,4414.54782143755,28.8674259185791,179.341169858743,0.414433293278119
2,31833.2003075676,4391.60590430764,28.868335723877,179.339241597062,0.406604674539692
2,31898.2840203308,4379.40276322053,28.8692474365234,179.337272329294,0.402318065142451
2,31950.3905299529,4372.26229180822,28.8699779510498,179.335692203701,0.400151691513972
2,32015.5735362759,4368.55328734159,28.8708934783936,179.333740932685,0.399135449044361
2,32708.6598589495,4357.14165839267,28.8807353973389,179.312888568856,0.397937349030342
2,33404.2203370789,4355.2306848308,28.890832901001,179.296272534282,0.397599835352836
2,34100.0169690875,4352.53577511714,28.9011974334717,179.27973427061,0.397287335826014
2,34795.2823647317,4348.89070937661,28.9118385314941,179.261305364253,0.396879336581673
2,35490.7372977594,4345.10276458931,28.9227542877197,179.242807537075,0.396509293079645
2,36186.5734059671,4341.77995389171,28.9339504241943,179.224108691449,0.396161824275654
2,36882.8542314023,4338.00690939026,28.9454288482666,179.204527324376,0.39581200896804
2,37579.8333857385,4334.74909560816,28.9571933746338,179.184393241,0.39544759973038
2,38277.7572570527,4331.85385502466,28.9692459106445,179.163681740742,0.39506069085495
2,38976.8410141077,4327.45778193655,28.9815921783447,179.14226100135,0.394657839926775
2,39677.2748738974,4323.98988431017,28.9942302703857,179.120214413073,0.394292160451091
2,40379.2456598897,4320.90692268779,29.0071697235107,179.09747068247,0.393893922769517
2,41082.9450402018,4315.64706029417,29.0204105377197,179.074084780663,0.39352747227353
2,41788.5201058788,4313.42179343854,29.0339546203613,179.049905614022,0.393159088648198
2,42496.1561474111,4310.81046092761,29.0478096008301,179.024876983603,0.392711497034114
2,43206.0335172275,4306.28263338058,29.0619792938232,178.999190109397,0.392278601426125
2,43918.2813593941,4302.2561149627,29.0764656066895,178.97272740022,0.391881810356161
2,44633.055783256,4298.66998244444,29.091272354126,178.945396500897,0.391496881154468
